Dernier;Variation;Ouverture;Haut;Bas;Volume;Indice;Date
6046.55;0.0021;6030.63;6046.55;6017.41;3196.0;CAC 40 ;2021-03-12
6035.97;-0.0017;6069.09;6089.2;6018.55;3434.0;CAC 40 ;2021-03-15
6055.43;0.0032;6050.4;6061.19;6034.76;3792.0;CAC 40 ;2021-03-16
6054.82;-0.0001;6048.31;6062.36;6037.25;3454.0;CAC 40 ;2021-03-17
6044.57;-0.0017;6076.21;6082.92;6044.57;1308.0;CAC 40 ;2021-03-18
4763.32;0.002;4750.64;4763.32;4741.2;0.0;SBF 120 ;2021-03-12
4754.33;-0.0019;4780.46;4795.8;4742.48;0.0;SBF 120 ;2021-03-15
4771.78;0.0037;4766.86;4777.56;4757.28;0.0;SBF 120 ;2021-03-16
4771.37;-0.0001;4766.68;4775.73;4756.42;0.0;SBF 120 ;2021-03-17
4772.7;0.0003;4789.49;4795.5;4763.44;0.0;SBF 120 ;2021-03-18
14260.1;0.0018;14242.59;14267.74;14204.78;0.0;CAC Mid & Small ;2021-03-12
14266.16;0.0004;14321.87;14362.59;14253.3;0.0;CAC Mid & Small ;2021-03-15
14354.54;0.0062;14344.62;14392.29;14326.38;0.0;CAC Mid & Small ;2021-03-16
14346.61;-0.0006;14355.15;14382.32;14275.25;0.0;CAC Mid & Small ;2021-03-17
14337.32;-0.0006;14426.15;14435.26;14336.69;0.0;CAC Mid & Small ;2021-03-18
14502.39;-0.0046;14492.45;14527.42;14450.72;0.0;DAX ;2021-03-12
14461.42;-0.0028;14504.49;14572.24;14409.35;0.0;DAX ;2021-03-15
14557.58;0.0066;14519.72;14601.79;14511.3;0.0;DAX ;2021-03-16
14596.61;0.0027;14565.29;14601.63;14539.7;0.0;DAX ;2021-03-17
14706.05;0.0075;14673.72;14780.24;14669.95;0.0;DAX ;2021-03-18
3943.34;0.001;3924.52;3944.99;3915.21;0.0;S&P 500 INDEX ;2021-03-12
3968.94;0.0065;3942.96;3970.08;3923.54;0.0;S&P 500 INDEX ;2021-03-15
3962.71;-0.0016;3973.59;3981.04;3953.44;0.0;S&P 500 INDEX ;2021-03-16
3974.12;0.0;0.0;0.0;0.0;0.0;S&P 500 INDEX ;2021-03-17
32778.64;0.009;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-12
32953.46;0.0053;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-15
32825.95;-0.0039;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-16
33015.37;0.0;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-17
3833.36;-0.0032;3840.73;3840.73;3818.25;0.0;DJ Euro Stoxx 50;2021-03-12
3829.84;-0.0009;3840.85;3857.07;3818.2;0.0;DJ Euro Stoxx 50;2021-03-15
3850.96;0.0055;3842.33;3856.78;3838.22;0.0;DJ Euro Stoxx 50;2021-03-16
3849.74;-0.0003;3846.58;3853.66;3838.43;0.0;DJ Euro Stoxx 50;2021-03-17
3852.87;0.0008;3856.76;3872.51;3852.25;0.0;DJ Euro Stoxx 50;2021-03-18
6761.47;0.0036;6736.96;6766.44;6709.0;0.0;FTSE 100;2021-03-12
6749.7;-0.0017;6761.47;6804.91;6723.67;0.0;FTSE 100;2021-03-15
6803.61;0.008;6749.7;6812.78;6749.64;0.0;FTSE 100;2021-03-16
6762.67;-0.006;6803.61;6805.73;6753.82;0.0;FTSE 100;2021-03-17
6747.17;-0.0023;6762.67;6779.88;6740.53;0.0;FTSE 100;2021-03-18
8644.5;0.006;8570.0;8644.5;8554.4;149113502.0;IBEX 35 ;2021-03-12
8635.4;-0.0011;8689.9;8740.1;8617.6;210887181.0;IBEX 35 ;2021-03-15
8657.7;0.0026;8679.4;8717.6;8617.8;209943732.0;IBEX 35 ;2021-03-16
8599.5;-0.0067;8652.1;8659.1;8570.1;173236965.0;IBEX 35 ;2021-03-17
8595.6;-0.0005;8632.6;8658.5;8587.1;109427435.0;IBEX 35 ;2021-03-18
13319.865;-0.0059;13222.813;13324.694;13158.718;0.0;NASDAQ Composite ;2021-03-12
13459.708;0.0105;13323.472;13460.349;13272.499;0.0;NASDAQ Composite ;2021-03-15
13471.567;0.0009;13523.173;13620.711;13397.085;0.0;NASDAQ Composite ;2021-03-16
13525.202;0.0;0.0;0.0;0.0;0.0;NASDAQ Composite ;2021-03-17
29717.83;0.0173;29287.74;29744.32;29210.4;0.0;Nikkei 225;2021-03-12
29766.97;0.0017;29804.5;29884.73;29670.31;0.0;Nikkei 225;2021-03-15
29921.09;0.0052;29770.39;30026.4;29755.47;0.0;Nikkei 225;2021-03-16
29914.33;-0.0002;29836.83;29984.97;29825.16;0.0;Nikkei 225;2021-03-17
30216.75;0.0101;30148.48;30485.0;30041.5;0.0;Nikkei 225;2021-03-18
